,depart,Home,Work,atwork,eatout,escort,othdiscr,othmaint,school,shopping,social,univ,work
0,5.0,878.0,2.0,2.0,446.0,2427.0,566.0,594.0,208.0,636.0,139.0,23.0,7956.0
1,6.0,2435.0,15.0,23.0,604.0,2525.0,885.0,804.0,2657.0,1035.0,267.0,137.0,18113.0
2,7.0,3894.0,124.0,202.0,1316.0,8156.0,1954.0,2327.0,15873.0,1545.0,598.0,719.0,33944.0
3,8.0,6619.0,577.0,1027.0,2490.0,12655.0,3641.0,4204.0,16648.0,4582.0,1156.0,1372.0,25683.0
4,9.0,4694.0,594.0,948.0,1773.0,3392.0,2882.0,3734.0,2526.0,4818.0,1096.0,342.0,11158.0
5,10.0,10563.0,4067.0,6214.0,2313.0,3219.0,2851.0,4038.0,962.0,6248.0,989.0,196.0,4953.0
6,11.0,11271.0,3124.0,5690.0,2409.0,3426.0,3033.0,4024.0,912.0,6478.0,1286.0,253.0,3471.0
7,12.0,11940.0,2323.0,7048.0,2663.0,3502.0,3171.0,3923.0,881.0,6751.0,1324.0,338.0,3031.0
8,13.0,18966.0,9809.0,4656.0,2781.0,3814.0,2558.0,3423.0,471.0,6618.0,1359.0,257.0,3317.0
9,14.0,21154.0,5625.0,2272.0,3145.0,4531.0,3358.0,3682.0,400.0,6776.0,1642.0,341.0,2668.0
10,15.0,32491.0,1769.0,825.0,3585.0,5680.0,4243.0,4082.0,353.0,7585.0,2041.0,527.0,2096.0
11,16.0,32786.0,857.0,502.0,3312.0,3846.0,3398.0,3805.0,478.0,7053.0,1701.0,892.0,2473.0
12,17.0,41496.0,562.0,262.0,4429.0,5286.0,4464.0,4506.0,451.0,8090.0,2307.0,1071.0,2734.0
13,18.0,42238.0,292.0,122.0,4499.0,5147.0,5324.0,4214.0,320.0,8038.0,2323.0,1152.0,2120.0
14,19.0,22072.0,41.0,14.0,1840.0,1711.0,1622.0,1838.0,60.0,3666.0,915.0,205.0,1120.0
15,20.0,20743.0,32.0,15.0,1673.0,1455.0,1646.0,1414.0,20.0,3160.0,964.0,177.0,701.0
16,21.0,21251.0,11.0,5.0,1632.0,1410.0,1576.0,1250.0,25.0,2792.0,1006.0,168.0,591.0
17,22.0,7228.0,1.0,1.0,311.0,336.0,218.0,305.0,1.0,610.0,160.0,11.0,171.0
18,23.0,6387.0,3.0,0,294.0,318.0,243.0,292.0,2.0,557.0,153.0,10.0,150.0
