vot_bin,household_id
"(0, 1]",6989
"(1, 2]",23965
"(2, 3]",29041
"(3, 4]",27342
"(4, 5]",24107
"(5, 6]",21100
"(6, 7]",17620
"(7, 8]",14820
"(8, 9]",12414
"(9, 10]",10642
"(10, 11]",9196
"(11, 12]",7894
"(12, 13]",6684
"(13, 14]",5648
"(14, 15]",4928
"(15, 16]",4456
"(16, 17]",3720
"(17, 18]",3326
"(18, 19]",3036
"(19, 20]",2417
"(20, 21]",2214
"(21, 22]",2032
"(22, 23]",1843
"(23, 24]",1756
"(24, 25]",1468
"(25, 26]",1188
"(26, 27]",1209
"(27, 28]",1033
"(28, 29]",948
"(29, 30]",817
"(30, 31]",782
"(31, 32]",684
"(32, 33]",692
"(33, 34]",1092
"(34, 35]",419
"(35, 36]",469
"(36, 37]",398
"(37, 38]",367
"(38, 39]",268
"(39, 40]",323
"(40, 41]",253
"(41, 42]",257
"(42, 43]",257
"(43, 44]",220
"(44, 45]",213
"(45, 46]",239
"(46, 47]",180
"(47, 48]",128
"(48, 49]",133
"(49, 50]",2235
